observation_date,CIVPART
1/1/1948,58.6
2/1/1948,58.9
3/1/1948,58.5
4/1/1948,59
5/1/1948,58.3
6/1/1948,59.2
7/1/1948,59.3
8/1/1948,58.9
9/1/1948,58.9
10/1/1948,58.7
11/1/1948,58.7
12/1/1948,59.1
1/1/1949,58.7
2/1/1949,59
3/1/1949,58.9
4/1/1949,58.8
5/1/1949,59
6/1/1949,58.6
7/1/1949,58.9
8/1/1949,59.2
9/1/1949,59.1
10/1/1949,59.6
11/1/1949,59.4
12/1/1949,59.2
1/1/1950,58.9
2/1/1950,58.9
3/1/1950,58.8
4/1/1950,59.2
5/1/1950,59.1
6/1/1950,59.4
7/1/1950,59.1
8/1/1950,59.5
9/1/1950,59.2
10/1/1950,59.4
11/1/1950,59.3
12/1/1950,59.2
1/1/1951,59.1
2/1/1951,59.1
3/1/1951,59.8
4/1/1951,59.1
5/1/1951,59.4
6/1/1951,59
7/1/1951,59.4
8/1/1951,59.2
9/1/1951,59.1
10/1/1951,59.4
11/1/1951,59.2
12/1/1951,59.6
1/1/1952,59.5
2/1/1952,59.5
3/1/1952,58.9
4/1/1952,58.8
5/1/1952,59.1
6/1/1952,59.1
7/1/1952,58.9
8/1/1952,58.7
9/1/1952,59.2
10/1/1952,58.7
11/1/1952,59.1
12/1/1952,59.2
1/1/1953,59.5
2/1/1953,59.5
3/1/1953,59.6
4/1/1953,59.1
5/1/1953,58.6
6/1/1953,58.9
7/1/1953,58.9
8/1/1953,58.6
9/1/1953,58.5
10/1/1953,58.5
11/1/1953,58.6
12/1/1953,58.3
1/1/1954,58.6
2/1/1954,59.3
3/1/1954,59.1
4/1/1954,59.2
5/1/1954,58.9
6/1/1954,58.5
7/1/1954,58.4
8/1/1954,58.7
9/1/1954,59.2
10/1/1954,58.8
11/1/1954,58.6
12/1/1954,58.1
1/1/1955,58.6
2/1/1955,58.4
3/1/1955,58.5
4/1/1955,59
5/1/1955,58.8
6/1/1955,58.8
7/1/1955,59.3
8/1/1955,59.7
9/1/1955,59.7
10/1/1955,59.8
11/1/1955,59.9
12/1/1955,60.2
1/1/1956,60.2
2/1/1956,59.9
3/1/1956,59.8
4/1/1956,59.9
5/1/1956,60.2
6/1/1956,60.1
7/1/1956,60.1
8/1/1956,60
9/1/1956,60
10/1/1956,59.8
11/1/1956,59.8
12/1/1956,59.8
1/1/1957,59.5
2/1/1957,59.9
3/1/1957,59.8
4/1/1957,59.5
5/1/1957,59.5
6/1/1957,59.8
7/1/1957,60
8/1/1957,59.3
9/1/1957,59.6
10/1/1957,59.5
11/1/1957,59.5
12/1/1957,59.6
1/1/1958,59.3
2/1/1958,59.3
3/1/1958,59.3
4/1/1958,59.6
5/1/1958,59.8
6/1/1958,59.5
7/1/1958,59.6
8/1/1958,59.8
9/1/1958,59.7
10/1/1958,59.6
11/1/1958,59.2
12/1/1958,59.2
1/1/1959,59.3
2/1/1959,59
3/1/1959,59.3
4/1/1959,59.4
5/1/1959,59.2
6/1/1959,59.2
7/1/1959,59.4
8/1/1959,59.2
9/1/1959,59.3
10/1/1959,59.4
11/1/1959,59.1
12/1/1959,59.5
1/1/1960,59.1
2/1/1960,59.1
3/1/1960,58.5
4/1/1960,59.5
5/1/1960,59.5
6/1/1960,59.7
7/1/1960,59.5
8/1/1960,59.5
9/1/1960,59.7
10/1/1960,59.4
11/1/1960,59.8
12/1/1960,59.7
1/1/1961,59.6
2/1/1961,59.6
3/1/1961,59.7
4/1/1961,59.3
5/1/1961,59.4
6/1/1961,59.7
7/1/1961,59.3
8/1/1961,59.3
9/1/1961,59
10/1/1961,59.1
11/1/1961,59.1
12/1/1961,58.8
1/1/1962,58.8
2/1/1962,59
3/1/1962,58.9
4/1/1962,58.7
5/1/1962,58.9
6/1/1962,58.8
7/1/1962,58.5
8/1/1962,59
9/1/1962,59
10/1/1962,58.7
11/1/1962,58.5
12/1/1962,58.4
1/1/1963,58.6
2/1/1963,58.6
3/1/1963,58.6
4/1/1963,58.8
5/1/1963,58.8
6/1/1963,58.5
7/1/1963,58.7
8/1/1963,58.5
9/1/1963,58.7
10/1/1963,58.8
11/1/1963,58.8
12/1/1963,58.5
1/1/1964,58.6
2/1/1964,58.8
3/1/1964,58.7
4/1/1964,59.1
5/1/1964,59.1
6/1/1964,58.7
7/1/1964,58.6
8/1/1964,58.6
9/1/1964,58.7
10/1/1964,58.6
11/1/1964,58.5
12/1/1964,58.6
1/1/1965,58.6
2/1/1965,58.7
3/1/1965,58.7
4/1/1965,58.8
5/1/1965,59
6/1/1965,58.8
7/1/1965,59.1
8/1/1965,58.9
9/1/1965,58.7
10/1/1965,58.9
11/1/1965,58.8
12/1/1965,59
1/1/1966,59
2/1/1966,58.8
3/1/1966,58.8
4/1/1966,59
5/1/1966,59
6/1/1966,59.1
7/1/1966,59.1
8/1/1966,59.3
9/1/1966,59.3
10/1/1966,59.3
11/1/1966,59.6
12/1/1966,59.5
1/1/1967,59.5
2/1/1967,59.3
3/1/1967,59.1
4/1/1967,59.4
5/1/1967,59.3
6/1/1967,59.6
7/1/1967,59.6
8/1/1967,59.7
9/1/1967,59.7
10/1/1967,59.9
11/1/1967,59.8
12/1/1967,59.9
1/1/1968,59.2
2/1/1968,59.6
3/1/1968,59.6
4/1/1968,59.5
5/1/1968,59.9
6/1/1968,60
7/1/1968,59.8
8/1/1968,59.6
9/1/1968,59.5
10/1/1968,59.5
11/1/1968,59.6
12/1/1968,59.7
1/1/1969,59.6
2/1/1969,60
3/1/1969,59.9
4/1/1969,60
5/1/1969,59.8
6/1/1969,60.1
7/1/1969,60.1
8/1/1969,60.3
9/1/1969,60.3
10/1/1969,60.4
11/1/1969,60.2
12/1/1969,60.2
1/1/1970,60.4
2/1/1970,60.4
3/1/1970,60.6
4/1/1970,60.6
5/1/1970,60.3
6/1/1970,60.2
7/1/1970,60.4
8/1/1970,60.3
9/1/1970,60.2
10/1/1970,60.4
11/1/1970,60.4
12/1/1970,60.4
1/1/1971,60.4
2/1/1971,60.1
3/1/1971,60
4/1/1971,60.1
5/1/1971,60.2
6/1/1971,59.8
7/1/1971,60.1
8/1/1971,60.2
9/1/1971,60.1
10/1/1971,60.1
11/1/1971,60.4
12/1/1971,60.4
1/1/1972,60.2
2/1/1972,60.2
3/1/1972,60.5
4/1/1972,60.4
5/1/1972,60.4
6/1/1972,60.4
7/1/1972,60.4
8/1/1972,60.6
9/1/1972,60.4
10/1/1972,60.3
11/1/1972,60.3
12/1/1972,60.5
1/1/1973,60
2/1/1973,60.5
3/1/1973,60.8
4/1/1973,60.8
5/1/1973,60.6
6/1/1973,60.9
7/1/1973,60.9
8/1/1973,60.7
9/1/1973,60.8
10/1/1973,60.9
11/1/1973,61.2
12/1/1973,61.2
1/1/1974,61.3
2/1/1974,61.4
3/1/1974,61.3
4/1/1974,61.1
5/1/1974,61.2
6/1/1974,61.2
7/1/1974,61.4
8/1/1974,61.2
9/1/1974,61.4
10/1/1974,61.3
11/1/1974,61.3
12/1/1974,61.2
1/1/1975,61.4
2/1/1975,61
3/1/1975,61.2
4/1/1975,61.3
5/1/1975,61.5
6/1/1975,61.2
7/1/1975,61.3
8/1/1975,61.3
9/1/1975,61.2
10/1/1975,61.2
11/1/1975,61.1
12/1/1975,61.1
1/1/1976,61.3
2/1/1976,61.3
3/1/1976,61.3
4/1/1976,61.6
5/1/1976,61.5
6/1/1976,61.5
7/1/1976,61.8
8/1/1976,61.8
9/1/1976,61.6
10/1/1976,61.6
11/1/1976,61.9
12/1/1976,61.8
1/1/1977,61.6
2/1/1977,61.9
3/1/1977,62
4/1/1977,62.1
5/1/1977,62.2
6/1/1977,62.4
7/1/1977,62.1
8/1/1977,62.3
9/1/1977,62.3
10/1/1977,62.4
11/1/1977,62.8
12/1/1977,62.7
1/1/1978,62.8
2/1/1978,62.7
3/1/1978,62.8
4/1/1978,63
5/1/1978,63.1
6/1/1978,63.3
7/1/1978,63.2
8/1/1978,63.2
9/1/1978,63.3
10/1/1978,63.3
11/1/1978,63.5
12/1/1978,63.6
1/1/1979,63.6
2/1/1979,63.8
3/1/1979,63.8
4/1/1979,63.5
5/1/1979,63.3
6/1/1979,63.5
7/1/1979,63.6
8/1/1979,63.6
9/1/1979,63.8
10/1/1979,63.7
11/1/1979,63.7
12/1/1979,63.9
1/1/1980,64
2/1/1980,64
3/1/1980,63.7
4/1/1980,63.8
5/1/1980,63.9
6/1/1980,63.7
7/1/1980,63.8
8/1/1980,63.7
9/1/1980,63.6
10/1/1980,63.7
11/1/1980,63.8
12/1/1980,63.6
1/1/1981,63.9
2/1/1981,63.9
3/1/1981,64.1
4/1/1981,64.2
5/1/1981,64.3
6/1/1981,63.7
7/1/1981,63.8
8/1/1981,63.8
9/1/1981,63.5
10/1/1981,63.8
11/1/1981,63.9
12/1/1981,63.6
1/1/1982,63.7
2/1/1982,63.8
3/1/1982,63.8
4/1/1982,63.9
5/1/1982,64.2
6/1/1982,63.9
7/1/1982,64
8/1/1982,64.1
9/1/1982,64.1
10/1/1982,64.1
11/1/1982,64.2
12/1/1982,64.1
1/1/1983,63.9
2/1/1983,63.8
3/1/1983,63.7
4/1/1983,63.8
5/1/1983,63.7
6/1/1983,64.3
7/1/1983,64.1
8/1/1983,64.3
9/1/1983,64.3
10/1/1983,64
11/1/1983,64.1
12/1/1983,64.1
1/1/1984,63.9
2/1/1984,64.1
3/1/1984,64.1
4/1/1984,64.3
5/1/1984,64.5
6/1/1984,64.6
7/1/1984,64.6
8/1/1984,64.4
9/1/1984,64.4
10/1/1984,64.4
11/1/1984,64.5
12/1/1984,64.6
1/1/1985,64.7
2/1/1985,64.7
3/1/1985,64.9
4/1/1985,64.9
5/1/1985,64.8
6/1/1985,64.6
7/1/1985,64.7
8/1/1985,64.6
9/1/1985,64.9
10/1/1985,65
11/1/1985,64.9
12/1/1985,65
1/1/1986,64.9
2/1/1986,65
3/1/1986,65.1
4/1/1986,65.1
5/1/1986,65.2
6/1/1986,65.4
7/1/1986,65.4
8/1/1986,65.3
9/1/1986,65.4
10/1/1986,65.4
11/1/1986,65.4
12/1/1986,65.3
1/1/1987,65.4
2/1/1987,65.5
3/1/1987,65.5
4/1/1987,65.4
5/1/1987,65.7
6/1/1987,65.5
7/1/1987,65.6
8/1/1987,65.7
9/1/1987,65.5
10/1/1987,65.7
11/1/1987,65.7
12/1/1987,65.7
1/1/1988,65.8
2/1/1988,65.9
3/1/1988,65.7
4/1/1988,65.8
5/1/1988,65.7
6/1/1988,65.8
7/1/1988,65.9
8/1/1988,66.1
9/1/1988,65.9
10/1/1988,66
11/1/1988,66.2
12/1/1988,66.1
1/1/1989,66.5
2/1/1989,66.3
3/1/1989,66.3
4/1/1989,66.4
5/1/1989,66.3
6/1/1989,66.5
7/1/1989,66.5
8/1/1989,66.5
9/1/1989,66.4
10/1/1989,66.5
11/1/1989,66.6
12/1/1989,66.5
1/1/1990,66.8
2/1/1990,66.7
3/1/1990,66.7
4/1/1990,66.6
5/1/1990,66.6
6/1/1990,66.4
7/1/1990,66.5
8/1/1990,66.5
9/1/1990,66.4
10/1/1990,66.4
11/1/1990,66.4
12/1/1990,66.4
1/1/1991,66.2
2/1/1991,66.2
3/1/1991,66.3
4/1/1991,66.4
5/1/1991,66.2
6/1/1991,66.2
7/1/1991,66.1
8/1/1991,66
9/1/1991,66.2
10/1/1991,66.1
11/1/1991,66.1
12/1/1991,66
1/1/1992,66.3
2/1/1992,66.2
3/1/1992,66.4
4/1/1992,66.5
5/1/1992,66.6
6/1/1992,66.7
7/1/1992,66.7
8/1/1992,66.6
9/1/1992,66.5
10/1/1992,66.2
11/1/1992,66.3
12/1/1992,66.3
1/1/1993,66.2
2/1/1993,66.2
3/1/1993,66.2
4/1/1993,66.1
5/1/1993,66.4
6/1/1993,66.5
7/1/1993,66.4
8/1/1993,66.4
9/1/1993,66.2
10/1/1993,66.3
11/1/1993,66.3
12/1/1993,66.4
1/1/1994,66.6
2/1/1994,66.6
3/1/1994,66.5
4/1/1994,66.5
5/1/1994,66.6
6/1/1994,66.4
7/1/1994,66.4
8/1/1994,66.6
9/1/1994,66.6
10/1/1994,66.7
11/1/1994,66.7
12/1/1994,66.7
1/1/1995,66.8
2/1/1995,66.8
3/1/1995,66.7
4/1/1995,66.9
5/1/1995,66.5
6/1/1995,66.5
7/1/1995,66.6
8/1/1995,66.6
9/1/1995,66.6
10/1/1995,66.6
11/1/1995,66.5
12/1/1995,66.4
1/1/1996,66.4
2/1/1996,66.6
3/1/1996,66.6
4/1/1996,66.7
5/1/1996,66.7
6/1/1996,66.7
7/1/1996,66.9
8/1/1996,66.7
9/1/1996,66.9
10/1/1996,67
11/1/1996,67
12/1/1996,67
1/1/1997,67
2/1/1997,66.9
3/1/1997,67.1
4/1/1997,67.1
5/1/1997,67.1
6/1/1997,67.1
7/1/1997,67.2
8/1/1997,67.2
9/1/1997,67.1
10/1/1997,67.1
11/1/1997,67.2
12/1/1997,67.2
1/1/1998,67.1
2/1/1998,67.1
3/1/1998,67.1
4/1/1998,67
5/1/1998,67
6/1/1998,67
7/1/1998,67
8/1/1998,67
9/1/1998,67.2
10/1/1998,67.2
11/1/1998,67.1
12/1/1998,67.2
1/1/1999,67.2
2/1/1999,67.2
3/1/1999,67
4/1/1999,67.1
5/1/1999,67.1
6/1/1999,67.1
7/1/1999,67.1
8/1/1999,67
9/1/1999,67
10/1/1999,67
11/1/1999,67.1
12/1/1999,67.1
1/1/2000,67.3
2/1/2000,67.3
3/1/2000,67.3
4/1/2000,67.3
5/1/2000,67.1
6/1/2000,67.1
7/1/2000,66.9
8/1/2000,66.9
9/1/2000,66.9
10/1/2000,66.8
11/1/2000,66.9
12/1/2000,67
1/1/2001,67.2
2/1/2001,67.1
3/1/2001,67.2
4/1/2001,66.9
5/1/2001,66.7
6/1/2001,66.7
7/1/2001,66.8
8/1/2001,66.5
9/1/2001,66.8
10/1/2001,66.7
11/1/2001,66.7
12/1/2001,66.7
1/1/2002,66.5
2/1/2002,66.8
3/1/2002,66.6
4/1/2002,66.7
5/1/2002,66.7
6/1/2002,66.6
7/1/2002,66.5
8/1/2002,66.6
9/1/2002,66.7
10/1/2002,66.6
11/1/2002,66.4
12/1/2002,66.3
1/1/2003,66.4
2/1/2003,66.4
3/1/2003,66.3
4/1/2003,66.4
5/1/2003,66.4
6/1/2003,66.5
7/1/2003,66.2
8/1/2003,66.1
9/1/2003,66.1
10/1/2003,66.1
11/1/2003,66.1
12/1/2003,65.9
1/1/2004,66.1
2/1/2004,66
3/1/2004,66
4/1/2004,65.9
5/1/2004,66
6/1/2004,66.1
7/1/2004,66.1
8/1/2004,66
9/1/2004,65.8
10/1/2004,65.9
11/1/2004,66
12/1/2004,65.9
1/1/2005,65.8
2/1/2005,65.9
3/1/2005,65.9
4/1/2005,66.1
5/1/2005,66.1
6/1/2005,66.1
7/1/2005,66.1
8/1/2005,66.2
9/1/2005,66.1
10/1/2005,66.1
11/1/2005,66
12/1/2005,66
1/1/2006,66
2/1/2006,66.1
3/1/2006,66.2
4/1/2006,66.1
5/1/2006,66.1
6/1/2006,66.2
7/1/2006,66.1
8/1/2006,66.2
9/1/2006,66.1
10/1/2006,66.2
11/1/2006,66.3
12/1/2006,66.4
1/1/2007,66.4
2/1/2007,66.3
3/1/2007,66.2
4/1/2007,65.9
5/1/2007,66
6/1/2007,66
7/1/2007,66
8/1/2007,65.8
9/1/2007,66
10/1/2007,65.8
11/1/2007,66
12/1/2007,66
1/1/2008,66.2
2/1/2008,66
3/1/2008,66.1
4/1/2008,65.9
5/1/2008,66.1
6/1/2008,66.1
7/1/2008,66.1
8/1/2008,66.1
9/1/2008,66
10/1/2008,66
11/1/2008,65.9
12/1/2008,65.8
1/1/2009,65.7
2/1/2009,65.8
3/1/2009,65.6
4/1/2009,65.7
5/1/2009,65.7
6/1/2009,65.7
7/1/2009,65.5
8/1/2009,65.4
9/1/2009,65.1
10/1/2009,65
11/1/2009,65
12/1/2009,64.6
1/1/2010,64.8
2/1/2010,64.9
3/1/2010,64.9
4/1/2010,65.2
5/1/2010,64.9
6/1/2010,64.6
7/1/2010,64.6
8/1/2010,64.7
9/1/2010,64.6
10/1/2010,64.4
11/1/2010,64.6
12/1/2010,64.3
1/1/2011,64.2
2/1/2011,64.1
3/1/2011,64.2
4/1/2011,64.2
5/1/2011,64.1
6/1/2011,64
7/1/2011,64
8/1/2011,64.1
9/1/2011,64.2
10/1/2011,64.1
11/1/2011,64.1
12/1/2011,64
1/1/2012,63.7
2/1/2012,63.8
3/1/2012,63.8
4/1/2012,63.7
5/1/2012,63.7
6/1/2012,63.8
7/1/2012,63.7
8/1/2012,63.5
9/1/2012,63.6
10/1/2012,63.8
11/1/2012,63.6
12/1/2012,63.7
1/1/2013,63.7
2/1/2013,63.4
3/1/2013,63.3
4/1/2013,63.4
5/1/2013,63.4
6/1/2013,63.4
7/1/2013,63.3
8/1/2013,63.3
9/1/2013,63.2
10/1/2013,62.8
11/1/2013,63
12/1/2013,62.9
1/1/2014,62.9
2/1/2014,62.9
3/1/2014,63.1
4/1/2014,62.8
5/1/2014,62.9
6/1/2014,62.8
7/1/2014,62.9
8/1/2014,62.9
9/1/2014,62.8
10/1/2014,62.9
11/1/2014,62.9
12/1/2014,62.8
1/1/2015,62.9
2/1/2015,62.7
3/1/2015,62.6
4/1/2015,62.8
5/1/2015,62.9
6/1/2015,62.7
7/1/2015,62.6
8/1/2015,62.6
9/1/2015,62.4
10/1/2015,62.5
11/1/2015,62.5
12/1/2015,62.7
1/1/2016,62.7
2/1/2016,62.8
3/1/2016,63
4/1/2016,62.9
5/1/2016,62.7
6/1/2016,62.7
7/1/2016,62.8
8/1/2016,62.9
9/1/2016,62.9
10/1/2016,62.8
11/1/2016,62.7
12/1/2016,62.7
1/1/2017,62.8
2/1/2017,62.9
3/1/2017,62.9
4/1/2017,63
5/1/2017,62.8
6/1/2017,62.8
7/1/2017,62.9
8/1/2017,62.9
9/1/2017,63.1
10/1/2017,62.7
11/1/2017,62.7
12/1/2017,62.7
1/1/2018,62.7
2/1/2018,63
3/1/2018,62.9
4/1/2018,62.9
5/1/2018,62.9
6/1/2018,63
7/1/2018,63
8/1/2018,62.6
9/1/2018,62.8
10/1/2018,62.9
11/1/2018,62.9
12/1/2018,63
1/1/2019,63.1
2/1/2019,63.1
3/1/2019,63
4/1/2019,62.9
5/1/2019,62.9
6/1/2019,63
7/1/2019,63.1
8/1/2019,63.1
9/1/2019,63.2
10/1/2019,63.3
11/1/2019,63.3
12/1/2019,63.3
1/1/2020,63.3
2/1/2020,63.3
3/1/2020,62.6
4/1/2020,60.1
5/1/2020,60.8
6/1/2020,61.5
7/1/2020,61.5
8/1/2020,61.7
9/1/2020,61.4
10/1/2020,61.7
11/1/2020,61.5
12/1/2020,61.5
1/1/2021,61.3
2/1/2021,61.4
3/1/2021,61.5
4/1/2021,61.6
5/1/2021,61.5
6/1/2021,61.7
7/1/2021,61.8
8/1/2021,61.7
9/1/2021,61.7
10/1/2021,61.8
11/1/2021,61.9
12/1/2021,62
1/1/2022,62.2
2/1/2022,62.2
3/1/2022,62.4
4/1/2022,62.2
5/1/2022,62.3
6/1/2022,62.2
7/1/2022,62.1
8/1/2022,62.3
9/1/2022,62.3
10/1/2022,62.2
11/1/2022,62.2
12/1/2022,62.3
1/1/2023,62.4
2/1/2023,62.5
